fid,Riproietta
"1351",0.80946
"1352",0.78947
"1353",0.81028
"1354",0.74515
"1355",0.76404
"1356",0.6813
"1357",0.78855
"1358",0.76857
"1359",0.81383
"1360",0.78978
"1361",0.85242
"1362",0.82602
"1363",0.80221
"1364",0.82627
"1365",0.76695
"1366",0.79001
"1367",0.80641
"1368",0.75657
"1369",0.84988
"1370",0.80321
"1371",0.83645
"1372",0.82215
"1373",0.75602
"1374",0.68678
"1375",0.81719
"1376",0.71452
"1377",0.7727
"1378",0.7999
"1379",0.80428
"1380",0.78873
"1381",0.78432
"1382",0.76795
"1383",0.79466
"1384",0.85386
"1385",0.82982
"1386",0.73793
"1387",0.74628
"1388",0.7871
"1389",0.8156
"1390",0.79156
"1391",0.80852
"1392",0.80248
"1393",0.76541
"1394",0.7884
"1395",0.78274
"1396",0.76898
"1397",0.82753
"1398",0.81624
"1399",0.77176
"1400",0.78412
"1401",0.7399
"1402",0.74256
"1403",0.80583
"1404",0.82656
"1405",0.71764
"1406",0.78864
"1407",0.79317
"1408",0.76372
"1409",0.82257
"1410",0.85121
"1411",0.85121
"1412",0.81683
"1413",0.82289
"1414",0.80186
"1415",0.70823
"1416",0.75188
"1417",0.79014
"1418",0.80858
"1419",0.76728
"1420",0.75
"1421",0.80978
"1422",0.74669
"1423",0.80559
"1424",0.71123
"1425",0.64472
"1426",0.73273
"1427",0.7463
"1428",0.74477
"1429",0.7662
"1430",0.78518
"1431",0.76733
"1432",0.81566
"1433",0.84863
"1434",0.83239
"1435",0.84117
"1436",0.78955
"1437",0.71108
"1438",0.70401
"1439",0.74447
"1440",0.76201
"1441",0.75095
"1442",0.75677
"1443",0.73808
"1444",0.80756
"1445",0.78049
"1446",0.76449
"1447",0.71611
"1448",0.74139
"1449",0.70761
"1450",0.7163
"1451",0.71329
"1452",0.73601
"1453",0.75738
"1454",0.76608
"1455",0.7145
"1456",0.76786
"1457",0.77932
"1458",0.79143
"1459",0.72156
"1460",0.71488
"1461",0.74296
"1462",0.75367
"1463",0.76334
"1464",0.78657
"1465",0.80112
"1466",0.77601
"1467",0.85146
"1468",0.69775
"1469",0.60634
"1470",0.71643
"1471",0.66784
"1472",0.67529
"1473",0.76767
"1474",0.74342
"1475",0.71986
"1476",0.75815
"1477",0.75741
"1478",0.75899
"1479",0.7532
"1480",0.77155
"1481",0.75888
"1482",0.79078
"1483",0.77411
"1484",0.77091
"1485",0.76808
"1486",0.72941
"1487",0.74687
"1488",0.76641
"1489",0.81588
"1490",0.80102
"1491",0.78373
"1492",0.85863
"1493",0.81931
"1494",0.80996
"1495",0.70802
"1496",0.78317
"1497",0.76435
"1498",0.79151
"1499",0.77396
"1500",0.75499
"1501",0.83887
"1502",0.80107
"1503",0.82558
"1504",0.82382
"1505",0.74461
"1506",0.72656
"1507",0.74637
"1508",0.72331
"1509",0.76392
"1510",0.82937
"1511",0.77379
"1512",0.74491
"1513",0.7712
"1514",0.7724
"1515",0.74054
"1516",0.74054
"1517",0.75815
"1518",0.70878
"1519",0.70348
"1520",0.80549
"1521",0.81192
"1522",0.80469
"1523",0.69484
"1524",0.60205
"1525",0.70313
"1526",0.75022
"1527",0.77778
"1528",0.72999
"1529",0.75202
"1530",0.75284
"1531",0.75944
"1532",0.74951
"1533",0.75649
"1534",0.68891
"1535",0.76381
"1536",0.76476
"1537",0.78657
"1538",0.7324
"1539",0.64575
"1540",0.81247
"1541",0.8225
"1542",0.78632
"1543",0.79648
"1544",0.76198
"1545",0.75941
"1546",0.7802
"1547",0.74506
"1548",0.81942
"1549",0.84832
"1550",0.79693
