fid,w46585_s10
"649",675.71301
"650",673.83221
"651",671.92383
"652",670.01538
"653",668.10968
"654",666.22693
"655",664.34912
"656",662.47131
"657",660.59662
"658",658.74487
"659",656.89771
"660",655.05048
"661",792.62482
"662",791.19397
"663",789.9812
"664",789.05377
"665",787.97961
"666",786.8009
"667",786.36322
"668",786.34137
"669",786.5097
"670",787.62793
"671",788.71301
"672",789.1637
"673",787.98657
"674",786.05933
"675",785.55823
"676",784.81238
"677",783.75458
"678",782.6969
"679",781.74072
"680",781.58368
"681",782.54572
"682",783.01727
"683",783.38129
"684",783.64282
"685",784.38959
"686",785.19513
"687",785.1167
"688",782.54773
"689",782.24103
"690",784.16498
"691",785.521
"692",786.75208
"693",787.80823
"694",788.32538
"695",788.83313
"696",789.32257
"697",789.65918
"698",789.90002
"699",789.33191
"700",788.56561
"701",788.24768
"702",788.15302
"703",787.79358
"704",787.12408
"705",786.45459
"706",785.59912
"707",784.37878
"708",783.10321
"709",781.63953
"710",779.96503
"711",778.29053
"712",776.51611
"713",773.69122
"714",770.54907
"715",767.45599
"716",765.7735
"717",769.85553
"718",773.83289
"719",776.65521
"720",779.1272
"721",782.32727
"722",783.68011
"723",783.68738
"724",783.71283
"725",783.46942
"726",781.99878
"727",780.40479
"728",778.81091
"729",777.21698
"730",775.64929
"731",774.18121
"732",772.80011
"733",771.43298
"734",769.7052
"735",766.03149
"736",761.82068
"737",757.27399
"738",752.70422
"739",747.95941
"740",742.96088
"741",738.31042
"742",735.21698
"743",732.06403
"744",728.55688
"745",729.0069
"746",730.00519
"747",730.93188
"748",732.78027
"749",735.24921
"750",737.71808
"751",739.55542
"752",739.85138
"753",738.91351
"754",736.81671
"755",734.66968
"756",733.12958
"757",730.49353
"758",726.54633
"759",723.71478
"760",721.61328
"761",719.51172
"762",717.42297
"763",715.59619
"764",713.38031
"765",710.56702
"766",707.71729
"767",704.86768
"768",702.01813
"769",699.41791
"770",697.42297
"771",695.42822
"772",693.43329
"773",691.4386
"774",689.44379
"775",687.44891
"776",685.50317
"777",683.60382
"778",681.76318
"779",679.9259
"780",678.0885
"781",676.25122
"782",674.39111
"783",672.48279
"784",670.5744
"785",668.66602
"786",666.75763
"787",664.84918
"788",662.94092
"789",661.03247
"790",659.12408
"791",657.2157
"792",655.31458
"793",797.28027
"794",795.86188
"795",794.88147
"796",793.95422
"797",792.9173
"798",792.11572
"799",792.06543
"800",792.0437
"801",792.02197
"802",792.49579
"803",793.51532
"804",792.94952
"805",791.02228
"806",789.13593
"807",788.79028
"808",788.2699
"809",787.21222
"810",786.17572
"811",785.36517
"812",785.11328
"813",786.51422
"814",787.04352
"815",787.37018
"816",787.52863
"817",788.06238
"818",788.86792
"819",788.06439
"820",785.99042
"821",785.86072
"822",787.85498
"823",789.66962
"824",790.95282
"825",791.92682
"826",792.43439
"827",792.94208
"828",793.44971
"829",793.93671
"830",794.26343
"831",793.7514
"832",793.34119
"833",793.24628
"834",793.15149
"835",792.81512
"836",792.12769
"837",791.1438
"838",789.87469
"839",788.59912
"840",787.32343
"841",785.92383
"842",784.24939
"843",782.57489
"844",780.15082
"845",777.06091
"846",773.95148
"847",770.96552
"848",768.07147
"849",770.15448
"850",773.69098
"851",776.55603
"852",779.47168
"853",783.25208
"854",786.12378
"855",786.41968
"856",786.4292
"857",786.50848
"858",785.84833
"859",784.25427
"860",782.6604
"861",781.06641
"862",779.47247
"863",777.8786
"864",776.28741
"865",774.78113
"866",773.02753
"867",769.08282
"868",764.52173
"869",759.95178
"870",755.38202
"871",750.7887
"872",745.95343
"873",742.26642
"874",738.66321
"875",734.63348
"876",731.65668
"877",733.02521
"878",734.46649
"879",735.34418
"880",736.09479
"881",737.60632
"882",739.99738
"883",742.2334
"884",742.73279
"885",741.45648
"886",739.30219
"887",737.74048
"888",736.32202
"889",733.00043
"890",729.04413
"891",725.29901
"892",722.94489
"893",720.84338
"894",718.87347
"895",716.38092
"896",713.53131
"897",710.68158
"898",707.83197
"899",704.9823
"900",702.13269
"901",699.49988
"902",697.5033
"903",695.50848
"904",693.51361
"905",691.56073
"906",689.65747
"907",687.81342
"908",685.97607
"909",684.13867
"910",682.30139
"911",680.46399
"912",678.62659
"913",676.78931
"914",674.95251
"915",673.10022
"916",671.24219
"917",669.38428
"918",667.52643
"919",665.67719
"920",663.86578
"921",662.05829
"922",660.25098
"923",658.44348
"924",656.63599
"925",801.83447
"926",800.68457
"927",799.7691
"928",798.8526
"929",797.97913
"930",797.78943
"931",797.76758
"932",797.74597
"933",797.72418
"934",797.74451
"935",797.74628
"936",795.98523
"937",794.05792
"938",792.26239
"939",792.00769
"940",791.72748
"941",790.6698
"942",789.75061
"943",788.9953
"944",788.64288
"945",790.22882
"946",791.06982
"947",791.35907
"948",791.51752
"949",791.78638
"950",792.54059
"951",791.16949
"952",789.49841
"953",789.48022
"954",791.47461
"955",793.46912
"956",795.14691
"957",796.03583
"958",796.54327
"959",797.05103
"960",797.55872
"961",798.06628
"962",798.55078
"963",798.44812
"964",798.33978
"965",798.24487
"966",798.15002
"967",797.77002
"968",796.64618
"969",795.37061
"970",794.09491
"971",792.81927
"972",791.5437
"973",790.18829
"974",788.53381
"975",786.50781
"976",783.49683
"977",780.25269
"978",776.28748
"979",772.90723
"980",770.92297
